英文|中文
web seed|网络种子
Web Seeds|网络种子
Welcome to Transmission|欢迎使用 Transmission
You unchoked the peer, but the peer is not interested|您阻挡了peer，但peer不感兴趣

Magnet|磁力
Configure In System Preferences|在系统预置中配置
Rename File|重命名文件
Rename the file \"%@\":|重命名文件\"%@\":
Share torrent file|分享torrent文件
Controller|调节器
Rename File…|重命名文件...
America/New_York|美国/纽约
Remove from the transfer list when seeding completes|做种完成时从传输列表中删除
Applies to newly added transfers|适用于新增传输
Hash:|哈希：
New %@|新建%@
Select with Subdocuments|选择并包含子组
Select %@|选择 %@
Play Media File|播放媒体文件
Stop Media File|停止媒体文件
Clear Templates Folder|清除模板文件夹
No templates folder set for project|项目中没有设置模板文件夹
With Compilable Subdocuments|可编译输出的子文档
Auto-Generate Synopsis|自动生成摘要
Send Synopsis to Main Text|发送摘要到正文
Send Synopses to Main Text|发送摘要到正文
to Folder|为文件夹
to File|为文件
Web Page to Text|网页为文本
Remove Color|移除颜色
Remove Current Revision Color|移除当前修订颜色
Save Icon as File...|保存图标为文件...
Project Templates|项目模板
Use %@ Color In|使用 %@ 颜色到
with Icons|和图标
%@ Word Count|单词计数
%@ Character Count|字符计数
Annotation|注释
in %@|使用 %@
Take Snapshots of Selected Documents|为选择的文档创建快照
Take Titled Snapshots of Selected Documents|为选择的文档创建带标题的快照
Auto-Generate Title|自动生成标题
Append \".%@\" extension|附加扩展名 \".%@\
Append \".txt\" extension.|附加扩展名 \".txt\".
Append Clipping|附加到剪贴板
Append clippings service|附加到剪贴服务
Append selection|附加选择内容
Append selection failed.|附加选区失败.
Append Synopsis to Main Text|附加摘要到正文
Append Text To|附加文本到
Export to this format does not support all text features (e.g. images).|导出为此格式并不能支持所有的文本特性(例如图像)
Closed QuickReference Panels|最近关闭的快速参考面板
Bottom Editor|下方编辑器
Top Editor|上方编辑器
Left Editor|左侧编辑器
Right Editor|右侧编辑器
Left Editor Only|左侧编辑器
Right Editor Only|右侧编辑器
Reset Icon to Default|重设图标为默认
Convert to Folder|转为文件夹
Convert to File|转为文件
Recent|最近访问
Manage Icons...|管理图标...
Look Up|查找
Save As Picture...|另存图片为...
Scale Image...|缩放图片...
Split at Selection|自选择处切分
Split with Selection as Title|切分并选择内容为标题
Open Scrivener Link in|打开 Scrivener 链接于
Suggestions|建议
Text Color|文本颜色
Highlight Color|高亮颜色
Apply Formatting Preset|应用预设格式
Chars|字符数
Open Link|打开链接
Link to Document|链接到文档
Open Document Link in|打开文档链接 使用
Add Row Above|在上面添加行
Add Row Below|在下面添加行
Delete Row|删除行
Scratch Pad|便签本
Web Page|网页
Expand all.|全部展开.
Collapse all.|全部收缩.
Find Synopsis|查找摘要
Mode|模式
Format Bar|格式栏
Open Externally|从外部打开
Toggle Ruler|标尺
Ruler|标尺
Typewriter|打字机
Print|打印
Copy Format|复制格式
Paste Format|粘贴格式
Invisibles|不可见元素
Snapshot|快照
Titled Snapshot|带标题快照
Text Stats|文本统计
Back Up To|备份到
Customize|自定义
Compose|写作模式
Navigation|导航
Backup|备份
Group Mode|群组模式
View Mode|视图模式
Folder Sync|文件夹同步
Sharing|分享
Automatically check for updates:|自动更新检查周期:
Automatic Quit|自动退出
Revisions|修订
Main Editor|主编辑器
Textual Marks|文本标记
Startup|启动
Saving|保存
Separators|分隔符
Warnings|警告
Editing|编辑
Behaviors|行为
Folders & Files|文件夹 & 文件
References & Links|参考引用 & 链接
Composition Mode|写作模式
Playback|回放
Dragging & Dropping|拖拽
Double-Clicking|双击
Return Key|Return 键
General Interface|通用界面
Target Progress Bars|目标进度条
Auto-Correction|自动改正
Import & Export|导入 & 导出
Merged documents|合并的文档
Insert section break before text documents with subdocuments|在文本文档的子文档之前插入分节符
Print Settings|打印设置
Some fonts may be substituted during conversion.|某些字体可能在转换过程中被取代.
Page Settings|页面设置
Section break|分节符
Chapter break|章分隔
Footnotes/Comments|脚注/批注
Footnotes & Comments|脚注 & 批注
HTML Settings|HTML设置
Choose KindleGen Path|选择 KindleGen 路径
Quick Font Override|字体覆盖
File Conversion Warning|文件转换警告
RTF Compatibility|RTF 兼容性
Documents with|文档的
To export to the Kindle format, you need to install KindleGen, a free tool from Amazon. To do so, follow the link below and download and install KindleGen to your hard drive. Once KindleGen is installed, click on \"Choose...\" to tell Scrivener where it is located.|若要导出 Kindle 格式首先需要安装 KindleGen,作为免费工具你可以从亚马逊网站获取.请单击下面的链接下载 KindleGen 并安装到您的硬盘上.安装完成后,请单击\"选择...\"让Scrivener知道它所在的位置.
KindleGen Installed|KindleGen 已安装
KindleGen requires access to /private/tmp to create files. Please click on \"Confirm\" to grant access.|KindleGen 需要访问 /private/tmp 来创建文件. 请点击 \"确认\" 允许它的访问.
KindleGen, the tool from Amazon that enables Scrivener to export to a Kindle-compatible format, is installed. If for some reason you need to choose a different version of the KindleGen file your system, you can do so by clicking on \"Change...\" below.|安装 KindleGen 后，Scrivener就能输出Kindle兼容的格式,如果由于某种原因需要选择不同版本的KindleGen,点击下面的\"改变...\" .
Compatibility|兼容性
Convert em-dashes to triple hyphens|转换破折号为三短横
This will let Scrivener perform common auto-population tasks such as automatically adding your name and address to title pages. To change this setting, open System Preferences and choose Security & Privacy.|决定是否允许Scrivener完成通常的自动布局任务，如自动将您的姓名和地址添加到标题页。要更改此设置，打开系统偏好设置，然后选择“安全性与隐私”。
Change Settings|改变设置
Targets|目标
Deadline|截止日期
Import as Subdocument of|作为子文档导入到
Redefine style:|重定义样式
Take Snapshot Before Rolling Back?|回滚前创建快照吗？
Rolling back to a different version of the document '%@' will cause the current version to be lost. To avoid this, would you like to take a snapshot of the current version before rolling back?|回滚“% @”文档到不同的版本将导致当前版本丢失.为了避免这种情况,回滚操作前你想为当前版本创建一个快照吗?
Backing up original project...|备份原始项目...
Backing up project to %@|备份项目到 %@
For end-of-page footnote support, choose \"Proofing\" under \"Print Settings\".|页尾的脚注支持,选择“打印设置”下的“打样”.
Page padding:|页边距:
Authenticating...|验证中...
Downloading note %i of %i...|正在下载笔记 %1$i  之 %2$i...
Syncing %i of %i|正在同步 %1$i 之 %2$i
Syncing note %i of %i...|正在同步笔记 %1$i 之 %2$i...
Syncing note...|同步笔记...
(%@ %@ left to excise)|(清除 %1$@ %2$@ 从左到右)
(%@ %@ left to write, though)|(书写 %1$@ %2$@ 从左到右)
(%@ %@ to go!)|(%1$@ %2$@ 的目标！)
(as Compiled)|(可编译的)
(Composite)|(复合)
(Just %@ %@ left to write...)|(仅 %1$@ %2$@ 从左到右书写...)
(Notes)|(笔记)
(Project Notes)|(项目笔记)
(Synopsis)|(摘要)
(The bold formatting is set in the \"Formatting\" pane of the Preferences.)|(加粗格式设置在偏好设置中的 \"格式\" 面板).
(The bold formatting is set in the Text Preferences panel, available from the Project menu.)|(加粗格式设置在文本参数面板,可通过项目菜单进行设置).
(Unsorted)|(未排序)
- image|- 图片
[Done]|[完成]
at path '%@'|路径在 '%@'
Auto-Complete List|自动完成列表
because the serial number seems to be associated with a returned order|由于序列号被关联到一个返回的订单
because the serial number was not recognized|由于序列号无法被识别
because this serial number has been blacklisted|由于序列号被加入黑名单
by %@|由 %@
by someone else|由其他某人
characters.|字符.
Files that could be recovered have been saved to %@. The project will now close.|文件能恢复到 %@. 项目现在将关闭.
has been achieved.|已经完成.
Label List|标签列表
on %@)|在 %@)
Only|仅
pages|页
pages.|页.
Status List|状态列表
Templates Folder|模板文件夹
The project will now close.|项目现在将关闭.
was saved.|已经保存.
words.|字.
Word frequency|单词频率
%@ %@ written in @ScrivenerApp today!%@ #amwriting|今天完成了 %1$@ %2$@ 的写作 @ScrivenerApp !%3$@ #amwriting
%@ %i of %i...|%1$@ %2$i 之 %3$i...
%@ (%i of %i index cards)|%1$@ (%2$i 之 %3$i 索引卡片)
%@ (%i of %i)|%1$@ (%2$i 之 %3$i)
%@ as Compatibility File...|%@ 作为兼容文件...
%@ could not open project at %@.|%1$@ 不能打开项目于 %2$@.
%@ Target|目标 %@
%@ today's writing target of %@ %@ in @ScrivenerApp!%@. #amwriting|%1$@ 今天的撰写目标是 %2$@ %3$@ en @ScrivenerApp!%4$@. #amwriting
%@%@%@ (%i of %i)|%1$@%2$@%3$@ (%4$i 之 %5$i)
%@: %@ (%i of %i)|%1$@: %2$@ (%3$i 之 %4$i)
%@\nReason: %@\nUser Info: %@|%1$@\n原因: %2$@\n用户信息: %3$@
%d replaced|%d 被替换
%i documents changed|%i 个文档已改变
%i files selected for export.|导出 %i 个选择的文件.
Hide %@ & Status Columns|隐藏状态列 %@ &
Hide \"Getting Started\|隐藏 \"使用入门\
Hide Binder|隐藏文件栏
Hide Collections|隐藏档案集
Hide Colors|隐藏颜色
Hide Compiled Footnote Numbers in Inspector|在检查器中隐藏编译脚注编号
Hide Fonts|隐藏字体
Hide Footer View|隐藏状态栏
Hide Format Bar|隐藏格式栏
Hide Header View|隐藏标题栏
Hide Invisibles|隐藏不可见元素
Hide Layouts|隐藏布局
Hide Page View|隐藏页视图
Hide Project Keywords|隐藏项目关键词
Hide Project Notepad|隐藏项目笔记
Hide Project Targets|隐藏项目目标
Hide Ruler|隐藏标尺
Hide Scratch Pad|隐藏便签本
Hide Markup|隐藏标记
Show %@ & Status columns|显示状态列 %@ &
Show %@ Pins|显示 %@ 图钉
Show %@ Stamps|显示 %@ 图章
Show \"Applications\" in Finder|在Finder中显示 \"应用程序\
Show \"Getting Started\|显示 \"快速入门\
Show Binder|显示文件栏
Show Colors...|更多颜色...
Show Fonts...|显示字体...
Show Footer View|显示状态栏
Show Format Bar|显示格式栏
Show Header View|显示标题栏
Show Layouts|显示布局
Show Project Notepad|显示项目笔记
Show Project Targets|显示项目目标
Show Spelling|显示拼写检查
Show Synopses|显示摘要
Show Markup|显示标记
Checking Draft documents...|检查草稿文档...
Checking external Draft files...|检查外部草稿文件...
Checking files...|检查文件...
Checking for notes to remove...|检查移除的笔记...
Checking other external files...|检查其他外部文件...
Checking other text documents...|检查其他文本文档...
Removing note %i of %i...|正在移除笔记 %1$i 之 %2$i...
Removing note 1 of %i...|正在移除笔记 1 之 %i...
Step %i of %i|步骤 %1$i 之 %2$i
Step 1 of %i|步骤 1之 %i
Note (%@), %@|笔记 (%1$@), %2$@
Note [%@]|笔记 [%@]
Note on:|笔记在:
Note, %@|笔记, %@
Page %i of %i|页 %1$i 之 %2$i
Pages %i-%i of %i|页 %1$i-%2$i 之 %3$i
Creating %i mobile resources...|创建 %i 移动资源...
Sync Failed (HTTP Status Code: %i)|同步失败 (HTTP状态编码: %i)
Custom - %@|自定义 - %@
Days Left|剩余天数
Project Targets|项目目标
Paper Height|纸张高度
This project seems to contain personal information - are you sure you want to save it as a template?|这个项目中包含个人信息 - 你确认保存它们到模板中吗?
Personal information such as your name, address, telephone number or email address was detected in the project%@. If you intend to share this template with others, you may wish to remove this information.\n\nYou can replace elements such as name and address with tags which get replaced with information from the user's Address Book when a new project is created from the template - see the tags list in the Help menu for more information.\n\nIf this template is for personal use only, you can safely ignore this warning|项目%@检测到个人信息，如你的姓名、地址、电话号吗或邮件地址. 如果你想要共享这个模板给其他人, 你可能希望删除这些信息.\n\n你能替换这些信息为标签 - 帮助中的标签列表中提供了这些能自动由通讯簿读取信息的占位符标签.\n\n如果仅是你个人的使用，可以忽略这个警告
Scrivener needs to create a directory in which to save scratch pad notes.|Scrivener需要创建一个目录来保存便签本笔记.
Scratch pad notes|便签本笔记
Scratch pad notes are saved as rich text files in a folder of your choosing on your system, and are not associated with any particular project. You can send the text of scratch pad notes to a document in an open project, or import scratch pad notes as documents, using the \"Send to Project...\" button.\n\nBy default, Scrivener will save scratch pad notes into %@. If you would prefer to save the notes to a different location, please change this setting in the General pane of Scrivener's Preferences before continuing.|便签本保存富文本文件到你选择的文件夹中,它并没有关联到任何个别的项目.你能发送便签本文本到打开项目的文档中或者作为文档导入便签本笔记,使用\"发送到项目...\"按钮。\n\n缺省情况下,Scrivener将保存便签本笔记到 %@. 如果你想保存笔记到不同的位置, 请在继续前通过偏好设置中的通用面板进行设置.
Scratch Pad Notes Background|便签本笔记背景
Scratch Pad notes folder|便签本笔记文件夹
Scratch pad save error|便签本保存错误
Scratch pad update error|便签本更新错误
Preference Presets|预设的偏好设置
my setting|我的设置
Scrivenings:|层叠模式:
Storyist|Storyist
Typora|Typora
Entab|Entab
Detab|Detab
Page Up|向上翻页
DL|下载
Leechers|吸血
UL|上传
Scrivenings|层叠模式
Corrections|自动改正
QuickRef|快速参考
Birch|Birch
Boson|Boson
Push|Push
Pull|Pull
GitHub Desktop|GitHub Desktop
Shimo|Shimo
Quiver|Quiver
Coda|Coda
Together|Together
Textile|Textile
Manuscripts|Manuscripts
Findings|Findings
Studies|Studies
Keyboard Maestro|Keyboard Maestro
Principle|Principle
Gripper|Gripper
%d DHT|%d DHT
%d KB/s|%d KB/s
%d LTEP|%d LTEP
%d PEX|%d PEX
Tracker|Tracker
Transmission|Transmission
Epub|Epub






















































































































































































































































































































































































































































































































































































































TaskPaper|TaskPaper
About TaskPaper|关于TaskPaper
Hide TaskPaper|隐藏TaskPaper
Quit TaskPaper|退出TaskPaper
Open Application Folder|打开应用程序文件夹
Save…|保存…
Copy Displayed|显示复制
Go In|进入一级
Go Out|退出一级
Go Home|回到主页
Go to Project…|转到项目...
Expand Items|展开项目
Expand Items Completely|完全展开项目
Collapse Items|折叠项目
Collapse Items Completely|完全折叠项目
Expand All By Level|逐级展开全部
Expand All Completely|完全展开全部
Collapse All By Level|逐级折叠全部
Collapse All Completely|完全折叠全部
Search by…|搜索按...
Refresh Search Results|刷新搜索结果
Items|项目
New Task|新建任务
Format As|格式化为
Tasks|任务
Move to Project…|移动到项目...
Tag with...|打上...标签
Tag with Done|打上Done标签
Tag with Today|打上Today标签
Delete Tags in Selection|删除所选标签
Archive @done Items|归档@done项目
User's Guide|用户手册
Email jesse@hogbaysoftware.com|电子邮件jesse@hogbaysoftware.com
Support Forums|支持论坛
About FoldingText|关于FoldingText
Hide FoldingText|隐藏FoldingText
Quit FoldingText|退出FoldingText
Column 72|列72
Support &amp; Forums|支持和论坛
Focus Heading…|聚焦标题...
Codeblock|代码块
Copy as Rich Text|复制为富文本
Calc Mode Guide|计算器模式指南
Indent Type|缩进式
Run Command…|运行命令...
Timer Mode Guide|定时器模式指南
Plug-In Manager|插件管理器
Newsletter|通讯
Move Branch Down|向下移动分支
Expand By Level|逐级展开
Focus Tag…|聚焦标签...
Addition|附加
Hide Syntax|隐藏语法
Focus Out|移出焦点
Decrease Level|降低等级
Node Path's Guide|节点路径指南
Move Branch Up|向上移动分支
Software Development Kit|软件开发工具包
Move Branch Right|向右移动分支
Delete Item|删除项目
Move Branch Left|向左移动分支
Undo Selection|撤消选择
Show Outline View|显示大纲视图
Show List Bullets|显示列表项目符号
Substitution|替代
Schedule Mode Guide|预定模式指南
Deletion|删除
Increase Level|提高等级
Redo Selection|重做选择
Collapse By Level|逐级折叠
Copy as LaTeX|拷贝为LaTeX
Stopwatch Mode Guide|秒表模式指南
Todo Mode Guide|待办事项模式指南
FoldingText|FoldingText
Text Wrap Width|文字环绕宽度
Copyright %@|%@ 版权所有
Trial|试用
Version %@ (%@)|版本 %@ (%@)
Sending activation information to TechSmith servers...|发送激活信息给TechSmith服务器...
Snagit|SnagIt
A directory named %@ already exists in this location.|一个名为%@的目录已经存在于这个位置。
A file named %@ already exists in this location.|一个名为%@的文件已经存在于这个位置。
Busy…|忙…
Change Path|更改路径
Changing this path is not recommended.|不建议更改此路径。


If you do change this path, do not use network drives or temporary disks (external hard drive, etc).|如果要更改此路径，不要使用网络驱动器或临时盘（外部硬盘驱动器等）。
Mobile Sharing is Off. Mobile devices cannot send files to Snagit.|移动共享为关闭。移动设备无法将文件发送到SnagIt。
Mobile Sharing is On. Mobile devices can send files to Snagit via your network connection.|移动共享为开。移动设备可以通过网络连接发送文件到SnagIt。
Mobile Sharing: Off|移动共享：关
Mobile Sharing: On|移动共享：打开
Turn Off Sharing|关闭共享
Turn Off Sharing to change this option.|关闭共享更改此选项。
Turn On Sharing|启用共享
Are you sure you want to revert?|你确定要恢复？
Choose Folder|选择文件夹
Exit Full Screen|退出全屏
Help Me Fix It|帮我解决它
Keep Trial|保持试用
Not in Applications Folder|不在应用程序文件夹内
Quit Anyway|仍要退出
Reset the Autosave Location|重置自动保存位置
Reset to Default|重置为默认
Select the location to store autosaved captures. If you reset to Snagit's default autosave location, recent autosaved captures will not appear in the Tray.|选择位置来存储自动保存捕获。如果您重置SnagIt默认自动保存的位置，最近的自动保存的捕获不会出现在任务栏。
Selecting Revert will uninstall the trial version and revert Snagit to the previously installed version.|选择还原将卸载试用版，并恢复SnagIt先前安装的版本。
Sharing in Progress|在共享过程中
Snagit did not properly quit the last time it was run.|SnagIt没有正常退出它上次运行的时间。
Snagit needs to be in the applications folder to run properly. Please move Snagit to the applications folder and relaunch the program.|SnagIt需要在应用程序文件夹才能正常运行。请移动SnagIt应用程序文件夹，然后重新启动该程序。
Some of your captures are still in the progress of being shared.|你的一些捕获仍处于被分享的过程中。
The output plugin is not compatible with this version of Snagit. Select Snagit > Check for Updates.|输出插件不与此版本SnagIt兼容。选择SnagIt>检查更新。
The selected directory is not a Snagit autosave directory. The directory must be named %@|选定的目录不是SnagIt自动保存目录。该目录必须被命名为%@
Unable to Launch Snagit|无法启动SnagIt
Unable to load plugin|无法加载插件
Arrow Tool|箭头工具



Snagit could not load the movie.|SnagIt无法加载电影。
Generic Tool|通用工具


Brush Tool|刷子


Font: %@ %1.0fpt|字体： %@ %1.0fpt
Text Color: %@|文字颜色：%@
Add Tail|添加尾巴
Callout Tool|标注工具
Edit Text|编辑文本
Remove Tail|删除尾巴
Show Fonts…|显示字体...
%.0f x %.0f|%.0f x %.0f
Capture|捕获
Install Component|安装组件
Uninstall Component|卸载组件
Capture Failed|捕获失败
Pause Recording|暂停录制
Resume Recording|继续录制
The web page capture failed unexpectedly|该网页捕获意外失败
Select color|选择颜色
Select color from image|从图像选择色彩
Switch colors|切换颜色
black|黑色
blue|蓝色
green|绿色
none|无
orange|橙色
other...|其他...
other…|其他…
purple|紫色
red|红
white|白色
yellow|黄色
Crop Tool|裁剪工具
%@ - (%@)|%@ - (%@)
%@ - %@|%@ - %@
(|(
)|)
No Sides|没有边
Shark|鲨鱼
Torn|撕毁
Wave|波
←|←
↑|↑
↓|↓
➞|➞
Autosaving video files to %@|自动保存视频文件到%@
Moving Autosave folder to %@|移动自动保存文件夹复制到%@
Moving the current video captures to the Autosave location failed.|移动当前的视频捕获到自动保存位置失败。
One or more of the videos already exists at the chosen location. Please choose another location and try again.|一个或一个以上的视频已存在于选择的位置。请选择其他位置，然后再试一次。
One or more video files could not be located.|一个或多个视频文件无法找到。
The Autosave folder already exists at the chosen location. Please choose another location and try again.|自动保存文件夹已经存在于所选的位置。请选择其他位置，然后再试一次。
The current Autosave location couldn't be found.|当前自动保存位置无法找到。
The move operation failed.|移动操作失败。
The selected Autosave location does not have enough free disk space. Please free up some disk space and try again.|选定自动保存位置没有足够的可用磁盘空间。请释放一些磁盘空间，然后再试一次。
The specified location is read-only.|指定位置是只读。
There isn't enough free disk space to move all the video files to the selected location. Please free up some disk space and try again.|没有足够的可用磁盘空间来所有的视频​​文件移动到选定的位置。请释放一些磁盘空间，然后再试一次。
Unable to change the Autosave location.|无法更改自动保存位置。
Unknown error, makes sure there is enough free disk space available and try again.|未知错误，确保有足够的可用磁盘空间，然后再试一次。
%d%%|%d%%
File Missing|文件丢失
Hide Tray|隐藏托盘
Show Tray|显示托盘
The selected file \"%@\" has been moved or deleted.|所选的文件 \"%@\" 已被移动或删除。
No effects|没有特效
Eraser Tool|橡皮擦工具
%.1f GB|%.1f GB
%.1f KB|%.1f KB
%.1f MB|%.1f MB
Tolerance: %d%%|容差: %d%%
Fill Tool|填充工具
Blur Tool|模糊工具
Restore 2.X Defaults|恢复2.X默认值
Downloading \%@\"|下载中 \"%@\"
Downloading...|下载...
Unable to open file|无法打开文件

%@\n%@|%@\n%@
Highlight Tool|选中工具
Styles|样式
The resulting image was too large.|由此产生的图像太大。
The selected output does not support image|选定的输出不支持图像
Unable to Rotate image|无法旋转图像
@%dx|@%dx
%d x %d|%d x %d


The document \%@\" could not be opened.|文档\"%@\"不能打开。
The document is corrupt or was made by a newer version of Snagit.|该文件已损坏或通过SnagIt较新版本制作。
If you leave Snagit running in the background, you can continue to capture without Snagit in the dock.|如果你让SnagIt在后台运行，您可以继续在Dock上没有SnagIt时捕捉。
Keep Snagit running in the background?|保持SnagIt在后台运行？
Run in Background|在后台运行
Keyboard|键盘
Line Tool|行工具
Remove Handle|去除扶栏
Enable Access for Assistive Devices.|启用辅助设备的访问。
To capture a scrolling area, you must enable access for assistive devices in the System Preferences and restart Snagit.|要捕获滚动区域，您必须启用系统设置辅助设备的访问，并重新启动SnagIt。
More outputs|更多输出
Output preferences|输出偏好
Save As|另存为
Add new button|添加新的按钮
Scrolling capture is disabled.|滚动捕捉被禁用。
Scrolling capture is working.|滚动捕捉工作中。
No|不
Yes|是
Delete button|删除按钮
Leave it|别管它

Uninstall %@|卸载 %@
Uninstall Plugin?|卸载插件？
An unknown error occurred.|出现未知错误。
Relaunch Later|以后重新启动
Relaunch Now|立即重新启动
Snagit needs to relaunch before this plugin can be used.|SnagIt需要重新启动才能使用此插件。
Unable to share|无法共享
Share Completed|分享完成
Outputs|输出
Recently Deleted|最近删除
Pan Tool|平移工具
Crash Recovery|崩溃恢复
Error converting from MOV to MP4. Please retry your video capture.|从MOV转换为MP4错误。请重试您的视频捕获。
Error mixing audio tracks. Disable system audio and retry your capture|混合音轨错误。禁用系统的音频，然后重试捕获
Exception caught while converting the video capture to MP4. Please retry your video capture.|视频捕获转换到MP4捕获到异常。请重试您的视频捕获。
Exception caught while opening image capture file.|在打开的图像捕获文件捕获到异常。
Processing files…|处理文件...
Processing Image…|处理图像...
Processing Video…|处理视频...
Snagit could not finalize your video capture|SnagIt无法完成您的视频采集
Snagit could not mix audio tracks for your video capture|SnagIt不能为您的视频混合音频轨道
Snagit could not open a pending capture|SnagIt无法打开待处理的捕获
Snagit had a problem the last time it processed pending captures. Delete the capture we believe caused the problem or try again?|SnagIt上一次处理未决的捕获时有一个问题。删除我们认为造成该问题的捕捉或再试一次？
The image capture file contains no images.|图像捕获文件中无图像。
The videoURL for the MOV file is invalid. Please retry your video capture.|MOV文件的videoURL无效。请重试您的视频捕获。



Polygon Tool|多边形工具


%@ could not enable scrolling captures.|%@ 无法启用滚动捕获。

Install these options to make scrolling capture work everywhere.|安装这些选项，使滚动捕获到处均可工作。
Selection Tool|选择工具

Trial Extended|试用延长
Canvas|Canvas
The previous version of Snagit could not be restored. Your current version is still available.|SnagIt以前的版本无法还原。您当前的版本仍然可用。
%@ Outputs|%@ 输出

1-5 minute videos|1-5分钟的视频
1280x720 Videos|1280×720的视频
15-30 minute videos|15-30分钟的视频
1920x1080 Videos|1920×1080的视频
320x240 Videos|320x240的影片
5-15 minute videos|5-15分钟的视频
640x480 Videos|640×480的视频
<1 minute videos|小于1分钟的视频
> 1920x1080 Videos|大于1920×1080的视频
>30 minute videos|大于30分钟的视频
All Documents Closed|所有文档已关闭
All-in-One Menu Captures|多合一菜单捕获
Anonymous UUID|匿名UUID
App Store Version|App Store的版本


Background Color Changed|背景颜色更改
Button Used|按钮已使用
Capture cursor|捕获光标
Capture Frame Used|捕获使用的帧
Capture Menu|捕获菜单
Capture Window|捕获窗口
Connect Mobile Device Used|连接使用的移动设备
Crop Used|裁剪使用
Custom styles created|自定义样式创建
Cutout Used|抠图使用

Default AutoSave Loc|默认自动保存Loc
Default Browser|默认浏览器
Default Mail Client|默认邮件客户端
Delay Captures|延时捕获
Dock Orientation|Dock方向
Documents Closed|文件关闭
Drag paste format|拖动粘贴格式
Export Styles Used|导出样式已使用
Expose Window Captures|Expose窗口捕获
Extend Trial Used|延长试用期
Google Drive Import Used|谷歌硬盘中导入使用
Help Shown|帮助已显示
Hide Snagit during Capture|捕获过程中隐藏SnagIt
Hotkeys Used|使用快捷键
Image Region Captures|图像区域捕获
Image Screen Captures|图像屏幕捕获
Image Window Captures|图像窗口捕获
Import Stamps Used|导入图章使用




Menu Captures|菜单捕获




Monitor Count|监视器数量
Multi Region Captures|多区域捕获
Opened Stamps File|打开图章文件
Preview in Editor|在编辑器中预览


Rotate Used|旋转已使用
Scroll Count|滚动计数
Scrolling Captures|滚动捕获
Snagit Run Count|SnagIt运行计数



Video Region Captures|视频区域捕获
Video Screen Captures|视频屏幕捕获
Video Window Captures|视频窗口捕获
Web Page Captures|网页捕获
Zoom Used|放大已使用


Stamp Tool|图章工具
Restart Sequence|重新启动序列
Step Tool|步工具


All|所有



















Unsaved|未保存
Edited Video|编辑视频
Only videos without changes can be dragged. Please save the video.|只有未改动的视频可以拖动。请保存视频。
Missing Captures|缺少捕获
Snagit detected that one or more capture file(s) have been deleted from your system. The missing files will be removed from the tray.|SnagIt检测到一个或多个捕获文已经从系统中删除。丢失的文件会从托盘中删除。


capture.|捕获。
captures.|捕获。
Check your web browser and try again.|检查Web浏览器，然后再试一次。
Unable to launch URL|无法启动URL

Vector Selection Tool|矢量选择工具





The selected output does not support video|选定的输出不支持视频

Choose Save a Copy to save both the current video changes and a copy of the original video. Choose Replace to save your current changes and overwrite the original video.|选择保存副本以保存当前视频的变化和原始视频的副本。选择替换以保存当前更改并覆盖原来的视频。
Cut Video|视频剪切
Do you want to save your changes to the video?|是否要更改保存到视频？
Don\'t Save|不要保存
Duplicating...|复制......
Preparing video...|准备影片...
Save a Copy|保存副本
Saving a copy...|保存副本...
Saving...|保存...
Select Save a Copy to save both your current changes and a copy of the original video. Select Replace to overwrite the original video.|选择保存副本以保存您当前的变化和原始视频的副本。选择替换以保存当前更改并覆盖原来的视频。选择替换以覆盖原始视频。
Copying video...|复制视频......
Zoom Tool|缩放工具
Scrolling Capture is enabled|滚动捕捉已启用
Enable Scrolling Capture|启用滚动捕捉
Firefox Plugin is installed|Firefox插件安装
Install Firefox Plugin (optional)|安装Firefox插件（可选）
Firefox plugin not needed|Firefox的插件并不需要
Order Now ►|现在订购►
Upgrade for only \n $24.95! \n Order Now ►|升级只要 \n $24.95! \n 现在定购►
Batch Export Complete|批量导出完成
Exported %u files.|导出%u文件。






















































































